Ordem,Instância,OFV (Melhor Custo),Melhor MH
[1/21],700_15_v2.txt,1259.68560,VNS
[2/21],700_10_v2.txt,1337.87016,VNS
[3/21],700_5_v2.txt,1198.84993,BRKGA-CS
[4/21],600_15_v2.txt,1126.45595,BRKGA-CS
[5/21],600_10_v2.txt,1263.94956,BRKGA-CS
[6/21],600_5_v2.txt,1179.36718,GRASP
[7/21],500_15_v2.txt,977.95424,GRASP
[8/21],500_10_v2.txt,1041.95880,VNS
[9/21],500_5_v2.txt,1017.99037,BRKGA-CS
[10/21],400_15_v2.txt,875.04480,BRKGA-CS
[11/21],400_10_v2.txt,851.05092,BRKGA-CS
[12/21],400_5_v2.txt,897.10876,GRASP
[13/21],300_15_v2.txt,681.52755,IPR
[14/21],300_10_v2.txt,665.38869,BRKGA
[15/21],300_5_v2.txt,604.38961,VNS
[16/21],200_15_v2.txt,345.31912,GRASP
[17/21],200_10_v2.txt,413.52821,GRASP
[18/21],200_5_v2.txt,440.43756,GRASP
[19/21],100_15_v2.txt,185.96184,ILS
[20/21],100_10_v2.txt,201.49906,BRKGA
[21/21],100_5_v2.txt,220.18525,GRASP
