# Rodada 2 - 2026-01-13 10:34:17
instance,ofv,time_best,time_total
100_5_v2.txt,282.579931,150.005,150.006
100_10_v2.txt,229.346786,116.841,150.014
100_15_v2.txt,215.415746,122.229,150.015
200_5_v2.txt,484.846761,143.007,150.017
200_10_v2.txt,495.068682,150.035,150.038
200_15_v2.txt,409.820892,150.053,150.061
300_5_v2.txt,709.718202,150.027,150.029
300_10_v2.txt,777.819137,150.065,150.076
300_15_v2.txt,728.336094,150.045,150.049
400_5_v2.txt,971.307034,150.257,150.273
400_10_v2.txt,938.468685,150.208,150.238
400_15_v2.txt,885.300177,150.818,150.876
